,Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method
0,4018,Handbag,4619.0,2023-02-05,3.2,Credit Card
1,4115,Tunic,2456.0,2023-07-11,2.0,Credit Card
2,4019,Tank Top,2102.0,2023-03-23,4.1,Cash
3,4097,Leggings,3126.0,2023-03-15,3.2,Cash
4,3997,Wallet,3003.0,2022-11-27,4.7,Cash
5,4080,Onesie,2914.0,2022-12-11,4.5,Credit Card
6,4055,Jacket,2571.0,2023-07-08,1.3,Cash
7,3973,Trousers,2419.0,2022-11-10,4.6,Cash
8,4044,Jeans,4771.0,2023-05-19,4.1,Cash
9,4010,Loafers,4233.0,2023-06-11,2.7,Credit Card
10,4108,Slippers,2356.0,2023-03-19,4.8,Credit Card
11,4067,Bowtie,4418.0,2022-11-21,3.4,Cash
12,4068,Pajamas,3728.0,2022-12-09,2.6,Credit Card
13,4102,Trench Coat,2130.0,2023-01-29,4.8,Cash
14,4044,Handbag,2122.0,2023-08-01,1.2,Credit Card
15,4096,Poncho,2383.0,2023-04-10,3.0,Credit Card
16,4017,Gloves,2895.0,2023-07-17,3.6,Credit Card
17,4001,Trench Coat,2952.0,2023-06-13,2.2,Cash
18,3976,Slippers,4069.0,2023-06-18,4.9,Credit Card
19,4103,Romper,4465.0,2022-11-21,3.4,Credit Card
20,4081,T-shirt,2108.0,2023-03-25,3.3,Cash
21,3986,Gloves,4298.0,2023-04-05,4.2,Cash
22,4108,Jeans,2814.0,2023-02-11,4.4,Credit Card
23,4109,Flip-Flops,4932.0,2022-12-20,4.0,Credit Card
24,4075,Tunic,4661.0,2023-04-12,1.2,Credit Card
25,4040,Shorts,4872.0,2023-08-25,3.8,Cash
26,4099,Blazer,4232.0,2022-10-25,2.7,Credit Card
27,3981,Boots,3718.0,2023-09-10,2.8,Credit Card
28,4070,Poncho,2902.0,2023-08-04,4.9,Cash
29,4002,Belt,3839.0,2023-05-26,1.8,Cash
30,4035,Tunic,4413.0,2022-12-23,1.2,Credit Card
31,4060,Boots,3139.0,2023-01-26,3.4,Credit Card
32,3974,Flip-Flops,2026.0,2023-04-16,4.0,Cash
